estilo,artista,eventos,dia,mes,aÃ±o,trimestre,precios,enlaces
clasica,Jazz Mad Bones: Tributo a Glenn Miller,1 Evento,12,1,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/jazz-mad-bones-tributo-a-glenn-miller-3440611/
clasica,"""Recital 2.0""",1 Evento,15,12,2023,4,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/recital-2-0-3440609/
clasica,âRitual liveâ,1 Evento,23,2,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/ritual-live-3440666/
clasica,Concierto Extraordinario,1 Evento,14,12,2023,4,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/concierto-extraordinario-3515184/
clasica,Rajiv Jayawer,1 Evento,26,4,2024,2,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/rajiv-jayawer-3440674/
clasica,"OcaÃ±a, Copla de Libertad",1 Evento,17,11,2023,4,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/ocana-copla-de-libertad-3440607/
clasica,"""Suite Sefarad""",1 Evento,24,11,2023,4,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/suite-sefarad-3440608/
clasica,Jazz Mad Bones: Tributo a Glenn Miller,1 Evento,12,1,2024,1,15.0,https://www.entradas.com/artist/eventos-del-teatro-monumental/jazz-mad-bones-tributo-a-glenn-miller-3440611/
clasica,Ludovico Musical Experience,1 Evento,22,12,2023,4,17.6,https://www.entradas.com/artist/ludovico-musical-experience/
clasica,Joven Orquesta Nacional de EspaÃ±a,1 Evento,12,1,2024,1,16.0,https://www.entradas.com/artist/riojaforum-programacion/joven-orquesta-nacional-de-espana-3403975/
clasica,Orquesta de CÃ¡mara Franz Liszt,1 Evento,26,11,2023,4,29.0,https://www.entradas.com/artist/riojaforum-programacion/orquesta-de-camara-franz-liszt-3403708/
clasica,Homenaje a John Williams y lo mejor de Disney,1 Evento,23,12,2023,4,38.0,https://www.entradas.com/artist/royal-film-concert-orchestra-rfco/
clasica,Ministriles Hispalensis y Cynthia Luque,1 Evento,12,11,2023,4,,https://www.entradas.com/artist/festival-de-musica-antigua-de-aranjuez-2/ministriles-hispalensis-y-cynthia-luque-3486983/
clasica,Kenneth Weiss,1 Evento,19,11,2023,4,16.25,https://www.entradas.com/artist/festival-de-musica-antigua-de-aranjuez-2/kenneth-weiss-1460251/
clasica,Concierto de aÃ±o nuevo - Repertorio clÃ¡sico de Viena,5 eventos,1,1,2024,1,18.0,https://www.entradas.com/artist/concierto-de-ano-nuevo-repertorio-clasico-de-viena/
clasica,Concierto de aÃ±o nuevo - Repertorio clÃ¡sico de Viena,5 eventos,2,1,2024,1,18.0,https://www.entradas.com/artist/concierto-de-ano-nuevo-repertorio-clasico-de-viena/
clasica,MÃºsica de pelÃ­culas,1 Evento,13,1,2024,1,5.0,https://www.entradas.com/artist/orquesta-sinfonica-chamartin/musica-de-peliculas-3232751/
clasica,Christmas Concert,1 Evento,22,12,2023,4,15.0,https://www.entradas.com/artist/orquesta-sinfonica-chamartin/christmas-concert-3228708/
clasica,Noche de JÃ³venes Estrellas,1 Evento,16,11,2023,4,4.42,https://www.entradas.com/artist/orquesta-sinfonica-chamartin/noche-de-jovenes-estrellas-3482790/
clasica,Federico Albanese,1 Evento,23,11,2023,4,35.0,https://www.entradas.com/artist/federico-albanense/
clasica,Zubin Mehta y Orquesta FilarmÃ³nica de MÃºnich,1 Evento,28,1,2024,1,42.0,https://www.entradas.com/artist/zubin-mehta-i-lorquestra-filharmonica-de-munic/
clasica,LuÃ­s GonzÃ¡lez,1 Evento,2,3,2024,1,25.0,https://www.entradas.com/artist/luis-gonzalez/
clasica,El Conciertazo en Familia: Especial Navidad,1 Evento,30,12,2023,4,18.0,https://www.entradas.com/artist/el-conciertazo-en-familia-especial-navidad/
clasica,El Conciertazo en Familia: Mozart y sus amigos,1 Evento,25,5,2024,2,18.0,https://www.entradas.com/artist/el-conciertazo-en-familia-mozart-y-sus-amigos/
