Sexo;Edad;Concepto turístico;Tipo de dato;Periodo;Total
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2020T4;2.533.364
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2020T3;6.734.639
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2020T2;1.184.114
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2020T1;4.135.467
Mujeres;65 y más años;Viajes;Valor absoluto;2023T2;
Mujeres;65 y más años;Viajes;Valor absoluto;2023T1;
Mujeres;65 y más años;Viajes;Valor absoluto;2022T4;
Mujeres;65 y más años;Viajes;Valor absoluto;2022T3;
Mujeres;65 y más años;Viajes;Valor absoluto;2022T2;
Mujeres;65 y más años;Viajes;Valor absoluto;2022T1;
Mujeres;65 y más años;Viajes;Valor absoluto;2021T4;1.999.339
Mujeres;65 y más años;Viajes;Valor absoluto;2021T3;2.702.915
Mujeres;65 y más años;Viajes;Valor absoluto;2021T2;1.960.441
Mujeres;65 y más años;Viajes;Valor absoluto;2021T1;644.185
Mujeres;65 y más años;Viajes;Valor absoluto;2020T4;873.067
Mujeres;65 y más años;Viajes;Valor absoluto;2020T3;1.981.051
Mujeres;65 y más años;Viajes;Valor absoluto;2020T2;470.588
Mujeres;65 y más años;Viajes;Valor absoluto;2020T1;1.709.450
